brand_name,season,title,cover_image,show_url,year,category
Dolce & Gabbana,Fall 2024 Ready To Wear,Dolce & Gabbana,https://assets.vogue.com/photos/65db4d55a6206052c3919ea0/16:9/pass/00001-dolce-&-gabbana-fall-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/dolce-gabbana,2024,Ready-to-Wear
Dolce & Gabbana,Fall 2025 Menswear,Dolce & Gabbana,https://assets.vogue.com/photos/678be88e71e9f75544e85204/16:9/pass/00001-dolce-and-gabbana-fall-2025-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-menswear/dolce-gabbana,2025,Menswear
Donna Karan,Fall 2025 Ready To Wear,Donna Karan,https://assets.vogue.com/photos/67a260e3f3026adf436cf4bf/16:9/pass/00001-donna-karan-new-york-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/donna-karan,2025,Ready-to-Wear
Donna Karan,Spring 2025 Ready To Wear,Donna Karan,https://assets.vogue.com/photos/6717ca93f177a605e3fae16e/16:9/pass/00001-donna-karan-spring-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/spring-2025-ready-to-wear/donna-karan,2025,Ready-to-Wear
Emilio Pucci,Fall 2024 Ready To Wear,Emilio Pucci,https://assets.vogue.com/photos/66d88775819973efc9fa9bb0/16:9/pass/00001-pucci-fall-2024-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/emilio-pucci,2024,Ready-to-Wear
Emilio Pucci,Fall 2025 Ready To Wear,Emilio Pucci,https://assets.vogue.com/photos/68c2e561f21a9b9efc572652/16:9/pass/00001-emilio-pucci-fall-2025-ready-to-wear-credit-brand.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/emilio-pucci,2025,Ready-to-Wear
Emporio Armani,Fall 2024 Menswear,Emporio Armani,https://assets.vogue.com/photos/65a3064ab04187758ab6a34d/16:9/pass/00001-emporio-armani-fall-2024-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/emporio-armani,2024,Menswear
Emporio Armani,Fall 2024 Ready To Wear,Emporio Armani,https://assets.vogue.com/photos/65d789e079fffa39d6fb9703/16:9/pass/00001-emporio-armani-2024-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/emporio-armani,2024,Ready-to-Wear
Enfants Riches Déprimés,Fall 2025 Ready To Wear,Enfants Riches Déprimés,https://assets.vogue.com/photos/67ce00a12013625fe3f1ec0b/16:9/pass/00001-enfants-riches-deprimes-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/enfants-riches-deprimes,2025,Ready-to-Wear
Etro,Fall 2024 Ready To Wear,Etro,https://assets.vogue.com/photos/65d6ee1329be775867d61067/16:9/pass/00001-etro-fall-2024-ready-to-wear-credit-gorunway.JPG,https://www.vogue.com/fashion-shows/fall-2024-ready-to-wear/etro,2024,Ready-to-Wear
Etro,Fall 2025 Ready To Wear,Etro,https://assets.vogue.com/photos/67c0e4641f632d92124d7985/16:9/pass/00001-etro-fall-2025-ready-to-wear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2025-ready-to-wear/etro,2025,Ready-to-Wear
Fendi,Fall 2024 Menswear,Fendi,https://assets.vogue.com/photos/65a2a980cbd7882a71255dd2/16:9/pass/00001-fendi-fall-2024-menswear-credit-gorunway.jpg,https://www.vogue.com/fashion-shows/fall-2024-menswear/fendi,2024,Menswear
