show_url,image_url,image_type
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5545f4885ae1357911a84/master/w_320%2Cc_limit/00017-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552b9075a673cd0f5590/master/w_320%2Cc_limit/00015-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553a4885ae1357911a8f/master/w_320%2Cc_limit/00032-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554734d7308e08493a120/master/w_320%2Cc_limit/00024-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555484885ae1357911a93/master/w_320%2Cc_limit/00047-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554a6d6f7ad917fa8828f/master/w_320%2Cc_limit/00045-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554612049c8e36482a7b2/master/w_320%2Cc_limit/00018-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554b6d6f7ad917fa88293/master/w_320%2Cc_limit/00052-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5547c7435b06ed2df6486/master/w_320%2Cc_limit/00026-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555474d7308e08493a12e/master/w_320%2Cc_limit/00046-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555316ea990cc26243ec4/master/w_320%2Cc_limit/00020-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554b50eca02817bdb2c81/master/w_320%2Cc_limit/00051-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5549e6ea990cc26243ebe/master/w_320%2Cc_limit/00041-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5544a4885ae1357911a82/master/w_320%2Cc_limit/00009-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5549f0eca02817bdb2c7f/master/w_320%2Cc_limit/00042-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554532eaa48cfb554f0de/master/w_320%2Cc_limit/00012-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552ed6d5c2c95f5f49b9/master/w_320%2Cc_limit/00018-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552d4d7308e08493a129/master/w_320%2Cc_limit/00017-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555293221980bc1a4edbc/master/w_320%2Cc_limit/00011-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55529cd44dbc957bad3bc/master/w_320%2Cc_limit/00012-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554c0348b7dbc78554761/master/w_320%2Cc_limit/00054-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55528cd44dbc957bad3ba/master/w_320%2Cc_limit/00010-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552bc44c17451d93d1d8/master/w_320%2Cc_limit/00014-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553c10e9278f2e43d574/master/w_320%2Cc_limit/00033-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553a4885ae1357911a8d/master/w_320%2Cc_limit/00030-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555365cb667ed3ac6d2b5/master/w_320%2Cc_limit/00026-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d555422049c8e36482a7bb/master/w_320%2Cc_limit/00039-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553f9075a673cd0f5592/master/w_320%2Cc_limit/00038-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5553a135127f2f5e4798a/master/w_320%2Cc_limit/00031-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55530cf31eedb33ffb03a/master/w_320%2Cc_limit/00019-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d5552768a803bdc45b8f19/master/w_320%2Cc_limit/00008-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d55533dcfc381e71f9ff4f/master/w_320%2Cc_limit/00023-prada-spring-2026-ready-to-wear-credit-gorunway.jpg,look
https://www.vogue.com/fashion-shows/image-archive,https://assets.vogue.com/photos/68d554ad10e9278f2e43d56b/master/w_320%2Cc_limit/00048-burberry-spring-2026-ready-to-wear-credit-gorunway-brand.jpg,look
